,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,Geraldton,40,CA,1574465866,85,49.72,-86.95,24.8,12.75
1,Merauke,0,ID,1574465866,47,-8.49,140.4,88.54,6.22
2,Doha,87,QA,1574465577,60,25.29,51.53,69.8,5.82
3,Jiquilisco,20,SV,1574465867,70,13.33,-88.57,86.0,3.36
4,New Amsterdam,54,GY,1574465868,89,6.25,-57.52,76.15,1.28
5,Port Hedland,67,AU,1574465869,35,-20.31,118.58,84.2,4.7
6,Cidreira,90,BR,1574465869,91,-30.17,-50.22,69.26,14.25
7,Saint-Philippe,75,CA,1574465870,65,45.36,-73.48,33.01,20.8
8,Lagoa,40,PT,1574465870,77,37.14,-8.45,62.01,18.34
9,Abu Samrah,9,SY,1574465871,45,35.3,37.18,50.11,7.83
10,Narsaq,100,GL,1574465871,52,60.91,-46.05,22.39,3.6
11,Yabelo,100,ET,1574465872,84,4.89,38.09,63.19,8.63
12,Wanlaweyn,9,SO,1574465872,84,2.62,44.89,77.94,7.72
13,Mahebourg,75,MU,1574465873,88,-20.41,57.7,78.01,2.24
14,Codrington,37,AU,1574465873,44,-28.95,153.24,82.4,10.29
15,Punta Arenas,20,CL,1574465874,44,-53.16,-70.91,57.2,23.04
16,Leshukonskoye,100,RU,1574465874,94,64.9,45.76,32.74,6.26
17,Barrow,62,AR,1574465484,76,-38.31,-60.23,47.1,8.12
18,Ushuaia,40,AR,1574465409,47,-54.81,-68.31,57.2,3.0
19,Tura,83,RU,1574465875,91,64.27,100.22,-20.69,5.88
20,Cabo San Lucas,40,MX,1574465876,69,22.89,-109.91,80.01,10.29
21,Lompoc,1,US,1574465746,45,34.64,-120.46,68.0,6.93
22,Sitka,100,US,1574465877,87,37.17,-99.65,30.99,3.0
23,Te Anau,100,NZ,1574465878,98,-45.41,167.72,53.04,1.74
24,Hobart,75,AU,1574465403,51,-42.88,147.33,66.99,9.17
25,Ilulissat,100,GL,1574465879,37,69.22,-51.1,21.2,5.82
26,Puerto Ayora,8,EC,1574465879,57,-0.74,-90.35,77.0,19.46
27,Nome,90,US,1574465879,94,30.04,-94.42,71.6,6.93
28,Colares,40,PT,1574465880,82,38.8,-9.45,59.0,12.75
29,Jamestown,29,AU,1574465880,34,-33.21,138.6,66.06,9.01
30,Xam Nua,14,LA,1574465881,95,20.42,104.04,56.68,1.68
31,Boden,90,SE,1574465881,100,65.83,21.69,35.6,4.7
32,Marawi,31,PH,1574465882,82,8.0,124.29,78.01,4.0
33,Awjilah,0,LY,1574465882,52,29.14,21.3,57.96,5.88
34,Brockville,75,CA,1574465665,63,44.59,-75.69,32.0,8.05
35,Victoria,75,BN,1574465776,94,5.28,115.24,78.8,1.12
36,Carnarvon,0,ZA,1574465883,37,-30.97,22.13,57.49,11.68
37,Kasulu,75,TZ,1574465884,78,-4.57,30.11,77.0,5.82
38,Salalah,0,OM,1574465884,36,17.01,54.1,75.2,23.04
39,East London,19,ZA,1574465885,79,-33.02,27.91,64.45,9.46
40,Visnes,100,NO,1574465886,81,59.36,5.22,48.99,11.41
41,Omsukchan,95,RU,1574465887,100,62.53,155.8,-16.62,2.48
42,Vieques,75,PR,1574465888,54,18.43,-65.83,82.4,9.17
